epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.4428,1.52392,2.84074,1.70063,0.49823,0.81008,0.71816,0.37095,1.32155,2.74085,1.70547,3.85903e-05,3.85903e-05,3.85903e-05
2,96.6639,1.36499,1.86293,1.55266,0.63751,0.73257,0.7336,0.38997,1.33678,2.00556,1.72384,7.47074e-05,7.47074e-05,7.47074e-05
3,132.925,1.30044,1.61193,1.52264,0.68998,0.77027,0.77041,0.43312,1.36987,1.72212,1.71906,0.000108273,0.000108273,0.000108273
4,169.074,1.27762,1.52573,1.51698,0.68406,0.81772,0.78945,0.45277,1.30717,1.53467,1.69834,0.000104516,0.000104516,0.000104516
5,205.422,1.22931,1.39505,1.46399,0.64917,0.83744,0.80875,0.44875,1.32438,1.60098,1.71968,0.000100688,0.000100688,0.000100688
6,241.949,1.21786,1.32725,1.46579,0.7048,0.84034,0.81124,0.47846,1.30506,1.48898,1.68235,9.686e-05,9.686e-05,9.686e-05
7,280.257,1.19588,1.27994,1.45664,0.6979,0.84656,0.82648,0.49469,1.3175,1.41965,1.71151,9.3032e-05,9.3032e-05,9.3032e-05
8,316.901,1.19752,1.26626,1.4531,0.69565,0.84352,0.80593,0.47264,1.33526,1.3792,1.72848,8.9204e-05,8.9204e-05,8.9204e-05
9,353.852,1.16686,1.21736,1.43332,0.67537,0.84707,0.80806,0.45897,1.33351,1.32631,1.73047,8.5376e-05,8.5376e-05,8.5376e-05
10,390.178,1.16043,1.21377,1.43468,0.72187,0.84352,0.83517,0.49757,1.30052,1.34311,1.68095,8.1548e-05,8.1548e-05,8.1548e-05
11,426.978,1.13404,1.16586,1.42307,0.73615,0.83423,0.85417,0.48522,1.36185,1.38935,1.74273,7.772e-05,7.772e-05,7.772e-05
12,465.184,1.1339,1.1516,1.40063,0.7064,0.85571,0.85653,0.47877,1.3367,1.37354,1.74732,7.3892e-05,7.3892e-05,7.3892e-05
13,504.251,1.11453,1.14752,1.4007,0.70747,0.83744,0.82898,0.47681,1.30797,1.33956,1.72167,7.0064e-05,7.0064e-05,7.0064e-05
14,542.272,1.12535,1.11735,1.39899,0.75443,0.81576,0.84714,0.47807,1.32909,1.27864,1.738,6.6236e-05,6.6236e-05,6.6236e-05
15,580.948,1.10523,1.1031,1.38585,0.71767,0.84656,0.82152,0.46787,1.31555,1.36394,1.72358,6.2408e-05,6.2408e-05,6.2408e-05
16,618.671,1.09252,1.08523,1.38296,0.69349,0.83288,0.81714,0.46672,1.32827,1.4168,1.73705,5.858e-05,5.858e-05,5.858e-05
17,655.374,1.0766,1.07455,1.37076,0.72838,0.8192,0.82506,0.48175,1.30192,1.32393,1.71242,5.4752e-05,5.4752e-05,5.4752e-05
18,693.789,1.07882,1.07468,1.38016,0.72892,0.8742,0.83371,0.47674,1.32636,1.27058,1.72532,5.0924e-05,5.0924e-05,5.0924e-05
19,731.249,1.0761,1.06027,1.38442,0.7575,0.81317,0.8557,0.48729,1.33533,1.28721,1.73852,4.7096e-05,4.7096e-05,4.7096e-05
20,768.565,1.0793,1.06141,1.38697,0.74269,0.80558,0.83481,0.47821,1.32991,1.24771,1.72908,4.3268e-05,4.3268e-05,4.3268e-05
21,839.328,1.00463,0.9558,1.41117,0.72461,0.84205,0.87612,0.5507,1.25588,1.27857,1.66359,3.944e-05,3.944e-05,3.944e-05
22,875.074,0.98108,0.92818,1.39132,0.77784,0.84352,0.88673,0.56473,1.24488,1.29808,1.65091,3.5612e-05,3.5612e-05,3.5612e-05
23,910.776,0.96493,0.89822,1.36425,0.77368,0.83028,0.87381,0.55476,1.2361,1.29142,1.6527,3.1784e-05,3.1784e-05,3.1784e-05
24,945.959,0.95748,0.87851,1.36607,0.75415,0.84406,0.87955,0.56423,1.22694,1.28352,1.63874,2.7956e-05,2.7956e-05,2.7956e-05
25,981.671,0.95046,0.87429,1.37688,0.83289,0.7868,0.87083,0.56708,1.22695,1.23481,1.63826,2.4128e-05,2.4128e-05,2.4128e-05
26,1017.47,0.92458,0.86057,1.35233,0.7598,0.83288,0.85851,0.53888,1.23362,1.24328,1.64796,2.03e-05,2.03e-05,2.03e-05
27,1052.65,0.92024,0.84956,1.34919,0.74259,0.83136,0.85994,0.53567,1.23283,1.29439,1.64605,1.6472e-05,1.6472e-05,1.6472e-05
28,1088.21,0.91805,0.84187,1.34647,0.75275,0.83744,0.86658,0.53472,1.25815,1.25097,1.6628,1.2644e-05,1.2644e-05,1.2644e-05
29,1123.83,0.90476,0.83972,1.33678,0.71585,0.84048,0.86014,0.54294,1.23534,1.32294,1.64982,8.816e-06,8.816e-06,8.816e-06
30,1158.63,0.90071,0.82283,1.32926,0.77927,0.80704,0.86262,0.55187,1.23088,1.27322,1.6483,4.988e-06,4.988e-06,4.988e-06
